ID,Legislator,Party,Committee,County,District,House
54,Margaret Markey (Chair),Democratic,"Tourism, Parks, Arts and Sports Development;Ways and Means",,30,Assembly
57,John Ceretto,Republican,"Tourism, Parks, Arts and Sports Development",,145,Assembly
59,Mark Gjonaj,Democratic,"Tourism, Parks, Arts and Sports Development",,80,Assembly
60,Chad Lupinacci,Republican,"Tourism, Parks, Arts and Sports Development",,10,Assembly
62,Daniel O'Donnell,Democratic,"Environmental Conservation;Tourism, Parks, Arts and Sports Development",,69,Assembly
64,Dean Murray,Republican,"Tourism, Parks, Arts and Sports Development",,3,Assembly
65,Phillip Palmesano,Republican,"Tourism, Parks, Arts and Sports Development",,132,Assembly
66,Dan Quart,Democratic,"Tourism, Parks, Arts and Sports Development",,73,Assembly
67,Samuel Roberts,Democratic,"Tourism, Parks, Arts and Sports Development",,128,Assembly
69,Rebecca Seawright,Democratic,"Tourism, Parks, Arts and Sports Development",,76,Assembly
72,Matthew Titone,Democratic,"Environmental Conservation;Tourism, Parks, Arts and Sports Development",,61,Assembly
74,Herman Farrell Jr. (Chair),Democratic,Ways and Means,,71,Assembly
75,Jeffrion Aubry,Democratic,Ways and Means,,35,Assembly
76,William Barclay,Republican,Ways and Means,,120,Assembly
78,Kevin Cahill,Democratic,Ways and Means,,103,Assembly
80,Vivian Cook,Democratic,Ways and Means,,32,Assembly
83,Michael Cusick,Democratic,Ways and Means,,63,Assembly
84,Janet Duprey,Republican,Ways and Means,,114,Assembly
85,Michael Fitzpatrick,Republican,Ways and Means,,8,Assembly
86,David Gantt,Democratic,Ways and Means,,137,Assembly
87,Deborah Glick,Democratic,Environmental Conservation;Ways and Means,,66,Assembly
89,Earlane Hooper,Democratic,Ways and Means,,18,Assembly
90,Joseph Lentol,Democratic,Ways and Means,,50,Assembly
91,Nichole Malliotakis,Republican,Ways and Means,,64,Assembly
93,Fancisco Moya,Democratic,Ways and Means,,39,Assembly
94,Cathrine Nolan,Democratic,Ways and Means,,37,Assembly
95,Bob Oaks,Republican,Ways and Means,,130,Assembly
96,Felix Ortiz,Democratic,Ways and Means,,51,Assembly
97,N. Nick Perry,Democratic,Ways and Means,,58,Assembly
98,J. Gary Pretlow,Democratic,Ways and Means,,89,Assembly
99,Robert Rodriguez,Democratic,Ways and Means,,68,Assembly
101,William Scarborough,Democratic,Ways and Means,,29,Assembly
102,Robin Schimminger,Democratic,Ways and Means,,140,Assembly
103,Fred Thiele Jr.,Republican,Environmental Conservation;Ways and Means,,1,Assembly
104,Raymond Walter,Republican,Ways and Means,,146,Assembly
105,Helene Weinstein,Democratic,Ways and Means,,41,Assembly
106,David Weprin,Democratic,Ways and Means,,24,Assembly
107,Keith L.T. Wright,Democratic,Ways and Means,,70,Assembly

